# instance	turn-cost	dist-cost	CC-or-T	ObjValue	Runtime(ms)
geom_100_0	1	0.5	CC	70.7277	520
geom_100_1	1	0.5	CC	69.9654	684
geom_100_2	1	0.5	CC	70.8983	697
geom_100_3	1	0.5	CC	70.5306	879
geom_100_4	1	0.5	CC	66.5658	705
geom_100_5	1	0.5	CC	69.7315	752
geom_100_6	1	0.5	CC	72.1011	983
geom_100_7	1	0.5	CC	68.8618	564
geom_100_8	1	0.5	CC	69.5399	699
geom_100_9	1	0.5	CC	68.1504	612
geom_150_0	1	0.5	CC	93.9725	1960
geom_150_1	1	0.5	CC	92.9754	1665
geom_150_2	1	0.5	CC	95.7966	2898
geom_150_3	1	0.5	CC	96.4054	2280
geom_150_4	1	0.5	CC	91.8001	1654
geom_150_5	1	0.5	CC	87.7526	1582
geom_150_6	1	0.5	CC	88.8229	1787
geom_150_7	1	0.5	CC	94.3017	1571
geom_150_8	1	0.5	CC	91.145	1725
geom_150_9	1	0.5	CC	89.1846	1933
geom_200_0	1	0.5	CC	108.234	3407
geom_200_1	1	0.5	CC	113.026	2593
geom_200_2	1	0.5	CC	109.617	3735
geom_200_3	1	0.5	CC	111.629	3399
geom_200_4	1	0.5	CC	111.182	3591
geom_200_5	1	0.5	CC	110.924	3030
geom_200_6	1	0.5	CC	114.442	2993
geom_200_7	1	0.5	CC	108.707	3645
geom_200_8	1	0.5	CC	112.757	4593
geom_200_9	1	0.5	CC	113.162	4011
geom_250_0	1	0.5	CC	127.398	4901
geom_250_1	1	0.5	CC	130.594	7743
geom_250_2	1	0.5	CC	130.435	5089
geom_250_3	1	0.5	CC	128.667	4898
geom_250_4	1	0.5	CC	127.315	6498
geom_250_5	1	0.5	CC	131.45	5209
geom_250_6	1	0.5	CC	127.557	11587
geom_250_7	1	0.5	CC	134.544	9896
geom_250_8	1	0.5	CC	130.587	5700
geom_250_9	1	0.5	CC	133.012	4991
geom_300_0	1	0.5	CC	150.298	7422
geom_300_1	1	0.5	CC	146.998	9350
geom_300_2	1	0.5	CC	151.494	9752
geom_300_3	1	0.5	CC	147.37	7166
geom_300_4	1	0.5	CC	145.137	10179
geom_300_5	1	0.5	CC	149.035	7756
