# instance	turn-cost	dist-cost	CC-or-T	ObjValue	Runtime(ms)
geom_100_0	1	0	CC	59.4021	526
geom_1000_0	1	0	CC	302.11	117475
geom_1000_1	1	0	CC	303.66	144635
geom_1000_2	1	0	CC	295.91	152581
geom_1000_3	1	0	CC	303.644	224015
geom_1000_4	1	0	CC	305.884	150906
geom_1000_5	1	0	CC	306.234	137479
geom_1000_6	1	0	CC	308.629	117751
geom_1000_7	1	0	CC	310.197	316994
geom_1000_8	1	0	CC	300.875	130986
geom_1000_9	1	0	CC	300.091	135386
geom_100_1	1	0	CC	60.9465	670
geom_100_2	1	0	CC	60.8145	616
geom_100_3	1	0	CC	63.5362	736
geom_100_4	1	0	CC	58.1156	559
geom_100_5	1	0	CC	61.8696	988
geom_100_6	1	0	CC	61.7253	778
geom_100_7	1	0	CC	60.0522	518
geom_100_8	1	0	CC	60.4746	598
geom_100_9	1	0	CC	59.1871	525
geom_1050_0	1	0	CC	315.36	161737
geom_1050_1	1	0	CC	312.453	188857
geom_1050_2	1	0	CC	315.651	176721
geom_1050_3	1	0	CC	309.12	260718
geom_1050_4	1	0	CC	310.233	153340
geom_1050_5	1	0	CC	319.334	145198
geom_1050_6	1	0	CC	313.734	179586
geom_1050_7	1	0	CC	313.98	263287
geom_1050_8	1	0	CC	312.648	362606
geom_1050_9	1	0	CC	315.564	148142
geom_1100_0	1	0	CC	329.348	171324
geom_1100_1	1	0	CC	324.836	167070
geom_1100_2	1	0	CC	333.212	298921
geom_1100_3	1	0	CC	320.552	160146
geom_1100_4	1	0	CC	319.872	209184
geom_1100_5	1	0	CC	316.579	181748
geom_1100_6	1	0	CC	323.118	165714
geom_1100_7	1	0	CC	328.75	181206
geom_1100_8	1	0	CC	322.111	486954
geom_1100_9	1	0	CC	325.713	180869
geom_1150_0	1	0	CC	336.453	525966
geom_1150_1	1	0	CC	330.021	174965
geom_1150_2	1	0	CC	337.98	503746
geom_1150_3	1	0	CC	331	614864
geom_1150_4	1	0	CC	332.621	260320
geom_1150_5	1	0	CC	331.657	257018
geom_1150_6	1	0	CC	336.505	200283
geom_1150_7	1	0	CC	332.716	194718
geom_1150_8	1	0	CC	329.466	210733
geom_1150_9	1	0	CC	332.863	214392
geom_1200_0	1	0	CC	343.276	454626
geom_1200_1	1	0	CC	347.348	218294
geom_1200_2	1	0	CC	345.292	208919
geom_1200_3	1	0	CC	344.019	238132
geom_1200_4	1	0	CC	345.606	223377
geom_1200_5	1	0	CC	346.632	189179
geom_1200_6	1	0	CC	335.871	222271
geom_1200_7	1	0	CC	344.572	196020
geom_1200_8	1	0	CC	341.383	236115
geom_1200_9	1	0	CC	343.474	214643
geom_1250_0	1	0	CC	358.644	347397
geom_1250_1	1	0	CC	354.241	260248
geom_1250_2	1	0	CC	350.711	214134
geom_1250_3	1	0	CC	353.627	236026
geom_1250_4	1	0	CC	352.435	227632
geom_1250_5	1	0	CC	353.271	304843
geom_1250_6	1	0	CC	348.358	214135
geom_1250_7	1	0	CC	349.281	191133
geom_1250_8	1	0	CC	354.215	225003
geom_1250_9	1	0	CC	355.753	348740
geom_1300_0	1	0	CC	367.696	247696
geom_1300_1	1	0	CC	363.312	731706
geom_1300_2	1	0	CC	361.195	326882
geom_1300_3	1	0	CC	363.44	257300
geom_1300_4	1	0	CC	366.214	265348
geom_1300_5	1	0	CC	355.589	310477
geom_1300_6	1	0	CC	361	253883
geom_1300_7	1	0	CC	364.682	236750
geom_1300_8	1	0	CC	365.677	258640
geom_1300_9	1	0	CC	365.204	552875
geom_1350_0	1	0	CC	372.748	268337
geom_1350_1	1	0	CC	376.718	267636
geom_1350_2	1	0	CC	373.099	270618
geom_1350_3	1	0	CC	375.138	282584
geom_1350_4	1	0	CC	371.278	304298
geom_1350_5	1	0	CC	372.602	286405
geom_1350_6	1	0	CC	364.915	598638
geom_1350_7	1	0	CC	371.891	261630
geom_1350_8	1	0	CC	365.128	281756
geom_1350_9	1	0	CC	370.573	320074
geom_1400_0	1	0	CC	383.933	289657
geom_1400_1	1	0	CC	377.169	298190
geom_1400_2	1	0	CC	382.055	291677
geom_1400_3	1	0	CC	379.463	361399
geom_1400_4	1	0	CC	377.93	291300
geom_1400_5	1	0	CC	380.568	282770
geom_1400_6	1	0	CC	382.607	353812
geom_1400_7	1	0	CC	379.263	300671
geom_1400_8	1	0	CC	380.684	337144
geom_1400_9	1	0	CC	382.943	283727
geom_1450_0	1	0	CC	385.416	357601
geom_1450_1	1	0	CC	389.543	344252
geom_1450_2	1	0	CC	386.045	430297
geom_1450_3	1	0	CC	395.725	329182
geom_1450_4	1	0	CC	393.841	307341
geom_1450_5	1	0	CC	389.822	324477
geom_1450_6	1	0	CC	392.79	343405
geom_1450_7	1	0	CC	384.696	1088028
geom_1450_8	1	0	CC	395.535	892372
geom_1450_9	1	0	CC	387.442	956590
geom_150_0	1	0	CC	84.5541	2786
geom_1500_0	1	0	CC	400.815	371965
geom_1500_1	1	0	CC	394.215	983888
geom_1500_2	1	0	CC	403.08	357436
geom_1500_3	1	0	CC	401.874	973269
geom_1500_4	1	0	CC	403.556	413129
geom_1500_5	1	0	CC	400.434	311375
geom_1500_6	1	0	CC	395.915	308154
geom_1500_7	1	0	CC	400.89	566193
geom_1500_8	1	0	CC	398.678	469010
geom_1500_9	1	0	CC	401.617	371208
geom_150_1	1	0	CC	81.6328	1563
geom_150_2	1	0	CC	83.2767	1914
geom_150_3	1	0	CC	85.6877	1814
geom_150_4	1	0	CC	80.8716	1700
geom_150_5	1	0	CC	79.1512	1649
geom_150_6	1	0	CC	77.0684	1682
geom_150_7	1	0	CC	84.0336	6192
geom_150_8	1	0	CC	79.7004	2560
geom_150_9	1	0	CC	77.9126	2706
geom_1550_0	1	0	CC	412.135	391174
geom_1550_1	1	0	CC	406.564	432282
geom_1550_2	1	0	CC	411.964	405151
geom_1550_3	1	0	CC	413.136	491941
geom_1550_4	1	0	CC	406.444	396529
geom_1550_5	1	0	CC	419.667	387740
geom_1550_6	1	0	CC	415.827	456133
geom_1550_7	1	0	CC	409.011	834871
geom_1550_8	1	0	CC	410.599	629338
geom_1550_9	1	0	CC	414.017	372931
geom_1600_0	1	0	CC	422.676	454084
geom_1600_1	1	0	CC	421.818	532845
geom_1600_2	1	0	CC	420.754	460685
geom_1600_3	1	0	CC	421.133	456863
geom_1600_4	1	0	CC	422.372	697662
geom_1600_5	1	0	CC	419.391	1000613
geom_1600_6	1	0	CC	425.997	547444
geom_1600_7	1	0	CC	421.688	468600
geom_1600_8	1	0	CC	423.105	556282
geom_1600_9	1	0	CC	410.983	538237
geom_1650_0	1	0	CC	430.666	472614
geom_1650_1	1	0	CC	426.819	452171
geom_1650_2	1	0	CC	423.543	518969
geom_1650_3	1	0	CC	424.954	420322
geom_1650_4	1	0	CC	432.062	508185
geom_1650_5	1	0	CC	432.056	485146
geom_1650_6	1	0	CC	429.97	524904
geom_1650_7	1	0	CC	429.444	430415
geom_1650_8	1	0	CC	427.344	526093
geom_1650_9	1	0	CC	430.997	449665
geom_50_1	1	0	CC	35.9327	250
geom_50_2	1	0	CC	37.2063	118
geom_50_3	1	0	CC	39.1853	103
geom_50_4	1	0	CC	41.3572	151
geom_50_5	1	0	CC	37.8924	162
geom_50_6	1	0	CC	34.671	111
geom_50_7	1	0	CC	39.8718	186
geom_50_8	1	0	CC	34.6454	103
geom_50_9	1	0	CC	39.1843	90
geom_550_0	1	0	CC	200.391	32899
geom_550_1	1	0	CC	200.701	46200
geom_550_2	1	0	CC	201.621	48567
geom_550_3	1	0	CC	203.285	31178
geom_550_4	1	0	CC	192.712	47487
geom_550_5	1	0	CC	196.082	46255
geom_550_6	1	0	CC	192.956	30725
geom_550_7	1	0	CC	197.186	38385
geom_550_8	1	0	CC	195.147	33970
geom_550_9	1	0	CC	198.676	32359
geom_600_0	1	0	CC	209.409	53877
geom_600_1	1	0	CC	207.826	55858
geom_600_2	1	0	CC	213.635	44129
geom_600_3	1	0	CC	216.11	42433
geom_600_4	1	0	CC	217.645	43217
geom_600_5	1	0	CC	209.956	102417
geom_600_6	1	0	CC	211.93	47630
geom_600_7	1	0	CC	204.722	55946
geom_600_8	1	0	CC	211.837	42086
geom_600_9	1	0	CC	208.887	49836
geom_650_0	1	0	CC	224.256	64866
geom_650_1	1	0	CC	225.397	66061
geom_650_2	1	0	CC	219.719	59296
geom_650_3	1	0	CC	223.132	63859
geom_650_4	1	0	CC	231.24	52974
geom_650_5	1	0	CC	221.522	49342
geom_650_6	1	0	CC	230.411	241752
geom_650_7	1	0	CC	222.233	53585
geom_650_8	1	0	CC	225.868	56108
geom_650_9	1	0	CC	228.226	57702
geom_700_0	1	0	CC	237.778	54594
geom_700_1	1	0	CC	241.03	101648
geom_700_2	1	0	CC	236.19	68977
geom_700_3	1	0	CC	233.858	52095
geom_700_4	1	0	CC	233.091	65843
geom_700_5	1	0	CC	228.919	75569
geom_700_6	1	0	CC	235.556	69130
geom_700_7	1	0	CC	239.904	60709
geom_700_8	1	0	CC	234.557	56760
geom_700_9	1	0	CC	238.8	96240
geom_750_0	1	0	CC	242.898	66068
geom_750_1	1	0	CC	250.637	80040
geom_750_2	1	0	CC	247.353	74070
geom_750_3	1	0	CC	247.882	70728
geom_750_4	1	0	CC	254.864	91753
geom_750_5	1	0	CC	244.996	70689
geom_750_6	1	0	CC	248.835	71575
geom_750_7	1	0	CC	240.889	66246
geom_750_8	1	0	CC	248.328	67545
geom_750_9	1	0	CC	248.114	55436
geom_800_0	1	0	CC	258.342	73505
geom_800_1	1	0	CC	259.277	247590
geom_800_2	1	0	CC	263.032	82216
geom_800_3	1	0	CC	257.716	94934
geom_800_4	1	0	CC	265.597	78124
geom_800_5	1	0	CC	259.264	115341
geom_800_6	1	0	CC	264.881	73817
geom_800_7	1	0	CC	258.183	79265
geom_800_8	1	0	CC	260.392	70707
geom_800_9	1	0	CC	260.765	72516
geom_850_0	1	0	CC	263.461	151685
geom_850_1	1	0	CC	267.227	104393
geom_850_2	1	0	CC	269.164	93458
geom_850_3	1	0	CC	273.95	101056
geom_850_4	1	0	CC	268.358	81037
geom_850_5	1	0	CC	268.709	96202
geom_850_6	1	0	CC	272.574	97095
geom_850_7	1	0	CC	270.466	88656
geom_850_8	1	0	CC	276.043	126192
geom_850_9	1	0	CC	274.092	87876
geom_900_0	1	0	CC	278.937	96720
geom_900_1	1	0	CC	283.164	137378
geom_900_2	1	0	CC	276.619	121523
geom_900_3	1	0	CC	281.466	155388
geom_900_4	1	0	CC	285.424	126484
geom_900_5	1	0	CC	282.958	129561
geom_900_6	1	0	CC	288.358	93832
geom_900_7	1	0	CC	278.115	119642
geom_900_8	1	0	CC	282.525	132173
geom_900_9	1	0	CC	280.206	106012
geom_950_0	1	0	CC	293.562	200997
geom_950_1	1	0	CC	293.926	178322
geom_950_2	1	0	CC	293.456	203428
geom_950_3	1	0	CC	292.709	168469
geom_950_4	1	0	CC	292.914	158597
geom_950_5	1	0	CC	289.67	113016
geom_950_6	1	0	CC	289.201	134604
geom_950_7	1	0	CC	294.604	131628
geom_950_8	1	0	CC	298.283	434821
geom_950_9	1	0	CC	289.504	108619
geom_200_1	1	0	CC	99.8134	3241
geom_200_2	1	0	CC	97.6558	3821
geom_200_3	1	0	CC	98.0279	3440
geom_200_4	1	0	CC	96.7554	3376
geom_200_5	1	0	CC	98.8582	4073
geom_200_6	1	0	CC	98.2804	3807
geom_200_7	1	0	CC	96.5444	6251
geom_200_8	1	0	CC	96.1098	3324
geom_200_9	1	0	CC	98.8343	3110
geom_250_0	1	0	CC	113.861	4580
geom_250_1	1	0	CC	112.173	6449
geom_250_2	1	0	CC	116.458	5497
geom_250_3	1	0	CC	112.696	7562
geom_250_4	1	0	CC	111.093	6620
geom_250_5	1	0	CC	112.862	5609
geom_250_6	1	0	CC	110.79	5626
geom_250_7	1	0	CC	118.417	6425
geom_250_8	1	0	CC	115.244	6537
geom_250_9	1	0	CC	118.78	5580
geom_300_0	1	0	CC	133.338	6857
geom_300_1	1	0	CC	130.24	8416
geom_300_2	1	0	CC	135.101	10705
geom_300_3	1	0	CC	130.968	7733
geom_300_4	1	0	CC	125.981	9891
geom_300_5	1	0	CC	133.336	8293
geom_300_6	1	0	CC	133.661	11965
geom_300_7	1	0	CC	128.538	7303
geom_300_8	1	0	CC	125.554	9959
geom_300_9	1	0	CC	133.412	7669
geom_350_0	1	0	CC	148.121	13433
geom_350_1	1	0	CC	143.919	42614
geom_350_2	1	0	CC	140.054	10530
geom_350_3	1	0	CC	142.804	9425
geom_350_4	1	0	CC	144.972	10251
geom_350_5	1	0	CC	144.589	12642
geom_350_6	1	0	CC	138.36	14947
geom_350_7	1	0	CC	143.478	15593
geom_350_8	1	0	CC	148.37	12665
geom_350_9	1	0	CC	144.2	12162
geom_400_0	1	0	CC	157.218	17347
geom_400_1	1	0	CC	163.392	21415
geom_400_2	1	0	CC	160.675	17223
geom_400_3	1	0	CC	162.723	21393
geom_400_4	1	0	CC	161.211	19700
geom_400_5	1	0	CC	163.774	23143
geom_400_6	1	0	CC	160.566	26422
geom_400_7	1	0	CC	161.526	24153
geom_400_8	1	0	CC	162.579	19664
geom_400_9	1	0	CC	160.387	27677
