# instance	turn-cost	dist-cost	CC-or-T	ObjValue	Runtime(ms)
geom_100_0	1	0	CC	52.2369	89139
geom_100_1	1	0	CC	54.2844	261119
geom_100_2	1	0	CC	52.2723	68480
geom_100_3	1	0	CC	-	-
geom_100_4	1	0	CC	51.8455	349190
geom_100_5	1	0	CC	53.6434	900289
geom_100_6	1	0	CC	52.2562	311942
geom_100_7	1	0	CC	54.2024	162793
geom_100_8	1	0	CC	51.5652	151119
geom_100_9	1	0	CC	52.0436	276501
geom_150_0	1	0	CC	-	-
geom_150_1	1	0	CC	-	-
geom_150_2	1	0	CC	-	-
geom_150_3	1	0	CC	-	-
geom_150_4	1	0	CC	-	-
geom_150_5	1	0	CC	-	-
geom_150_6	1	0	CC	70.6163	900586
geom_150_7	1	0	CC	72.0146	900628
geom_150_8	1	0	CC	-	-
geom_150_9	1	0	CC	-	-
geom_200_0	1	0	CC	90.0956	900107
geom_200_1	1	0	CC	-	-
geom_200_2	1	0	CC	-	-
geom_200_3	1	0	CC	-	-
geom_200_4	1	0	CC	-	-
geom_200_5	1	0	CC	-	-
geom_200_6	1	0	CC	89.7736	900087
geom_200_7	1	0	CC	-	-
geom_200_8	1	0	CC	-	-
geom_200_9	1	0	CC	90.9189	900559
geom_250_0	1	0	CC	-	-
geom_250_1	1	0	CC	-	-
geom_250_2	1	0	CC	-	-
geom_250_3	1	0	CC	-	-
geom_250_4	1	0	CC	-	-
geom_250_5	1	0	CC	-	-
geom_250_6	1	0	CC	387.372	899925
geom_250_7	1	0	CC	-	-
geom_250_8	1	0	CC	-	-
geom_250_9	1	0	CC	513.527	900115
geom_300_0	1	0	CC	654.279	900693
geom_300_1	1	0	CC	565.788	899732
geom_300_2	1	0	CC	-	-
geom_300_3	1	0	CC	-	-
geom_300_4	1	0	CC	-	-
geom_300_5	1	0	CC	-	-
geom_300_6	1	0	CC	-	-
geom_300_7	1	0	CC	-	-
geom_300_8	1	0	CC	638.738	900724
geom_300_9	1	0	CC	620.137	900706
geom_350_0	1	0	CC	-	-
geom_350_1	1	0	CC	692.481	900734
geom_350_2	1	0	CC	-	-
geom_350_3	1	0	CC	-	-
geom_350_4	1	0	CC	-	-
geom_350_5	1	0	CC	782.414	900651
geom_350_6	1	0	CC	724.482	900672
geom_350_7	1	0	CC	-	-
geom_350_8	1	0	CC	-	-
geom_350_9	1	0	CC	659.811	900725
geom_50_0	1	0	CC	34.5422	16837
geom_50_1	1	0	CC	31.5808	2389
geom_50_2	1	0	CC	34.2649	3399
geom_50_3	1	0	CC	33.3349	10288
geom_50_4	1	0	CC	33.2217	3516
geom_50_5	1	0	CC	34.4718	22633
geom_50_6	1	0	CC	33.8326	2605
geom_50_7	1	0	CC	32.8532	1330
geom_50_8	1	0	CC	32.3526	9409
geom_50_9	1	0	CC	33.4375	7429
geom_100_0	1	0	T	52.2369	173943
geom_100_1	1	0	T	54.291	166615
geom_100_2	1	0	T	52.2723	90565
geom_100_3	1	0	T	53.2497	899327
geom_100_4	1	0	T	51.8455	280808
geom_100_5	1	0	T	-	-
geom_100_6	1	0	T	52.2652	543170
geom_100_0	1	0	T	52.2369	174136
geom_100_1	1	0	T	54.291	166356
geom_100_2	1	0	T	52.2723	91663
geom_100_3	1	0	T	53.2497	900329
geom_100_4	1	0	T	51.8455	282546
geom_100_5	1	0	T	-	-
geom_100_6	1	0	T	52.2652	519237
geom_100_7	1	0	T	54.2024	423549
geom_100_8	1	0	T	51.5652	97485
geom_100_9	1	0	T	52.1155	538079
geom_150_0	1	0	T	-	-
geom_50_0	1	0	T	34.5422	25654
geom_50_1	1	0	T	31.5808	6150
geom_50_2	1	0	T	34.4713	13557
geom_50_3	1	0	T	33.3349	10613
geom_50_4	1	0	T	33.272	7783
geom_50_5	1	0	T	34.4718	39745
geom_50_6	1	0	T	33.8986	8588
geom_50_7	1	0	T	32.8532	1218
geom_50_8	1	0	T	32.3526	10508
geom_50_9	1	0	T	33.5335	33904
geom_150_0	1	0	T	-	-
geom_150_1	1	0	T	-	-
geom_150_2	1	0	T	-	-
geom_150_3	1	0	T	-	-
geom_150_4	1	0	T	-	-
geom_150_5	1	0	T	-	-
geom_150_6	1	0	T	-	-
geom_150_7	1	0	T	-	-
geom_150_8	1	0	T	-	-
geom_150_9	1	0	T	-	-
geom_200_0	1	0	T	-	-
geom_200_1	1	0	T	-	-
geom_200_2	1	0	T	-	-
geom_200_3	1	0	T	-	-
geom_200_4	1	0	T	-	-
geom_200_5	1	0	T	-	-
geom_200_6	1	0	T	-	-
geom_200_7	1	0	T	88.9817	900279
geom_200_8	1	0	T	-	-
geom_200_9	1	0	T	-	-
geom_250_0	1	0	T	-	-
geom_250_1	1	0	T	-	-
geom_250_2	1	0	T	-	-
geom_250_3	1	0	T	-	-
geom_250_4	1	0	T	-	-
geom_250_5	1	0	T	-	-
geom_250_6	1	0	T	-	-
geom_250_7	1	0	T	-	-
geom_250_8	1	0	T	-	-
geom_250_9	1	0	T	-	-
geom_300_0	1	0	T	-	-
geom_300_1	1	0	T	-	-
geom_300_2	1	0	T	-	-
